,number,form.food.ate_past_24_h,form.food.nbr_eat_7_day,form.food.fooditem,food,nbr_food,number_meals,Ano,Mês,Dia,Cluster
421,3115,0,0.0,katra,,,,,,,Cluster 0
422,240,1,3.0,tsako,1 10 16 18 2 20 5,7.0,2.0,2018.0,agosto,7.0,Cluster 3
423,7870,1,5.0,voanemba,,,,,,,Cluster 3
424,4274,1,4.0,bageda,,,,,,,Cluster 3
425,2841,0,5.0,balahazo _maina,,,,,,,Cluster 0
426,5841,1,2.0,ravi_balahazo,,,,,,,Cluster 3
427,8042,0,0.0,raketa_maitso/fotsy,,,,,,,Cluster 0
428,6423,0,1.0,ampemba,,,,,,,Cluster 0
429,9751,1,2.0,voanemba,,,,,,,Cluster 3
430,11770,1,4.0,balahazo _maina,,,,,,,Cluster 3
431,8732,1,7.0,balahazo _maina,,,,,,,Cluster 1
432,3111,0,2.0,vary,,,,,,,Cluster 0
433,6483,1,4.0,bageda,,,,,,,Cluster 3
434,98513,1,2.0,vary,,,,,,,Cluster 3
435,2862,0,3.0,balahazo _maina,,,,,,,Cluster 0
436,6404,0,0.0,taboara,,,,,,,Cluster 0
437,3592,0,1.0,bageda,,,,,,,Cluster 0
438,12021,1,2.0,voanemba,,,,,,,Cluster 3
439,984,1,21.0,raketa_mena,1 10 15 18 2 20 22 24 26 27 3 5 6 9,14.0,2.0,2018.0,agosto,7.0,Cluster 2
440,8983,1,7.0,pitipoa,,,,,,,Cluster 1
441,550,1,7.0,antake,16 5,2.0,2.0,2018.0,agosto,8.0,Cluster 1
442,12035,1,5.0,Menaka,,,,,,,Cluster 1
443,12110,1,7.0,tsako,,,,,,,Cluster 1
444,7401,1,7.0,balahazo _maina,,,,,,,Cluster 1
445,9071,1,7.0,ampemba,,,,,,,Cluster 1
446,7290,1,7.0,ampemba,,,,,,,Cluster 1
447,75912,0,0.0,hazan-dranomasina,,,,,,,Cluster 0
448,8597,0,3.0,balahazo _maina,,,,,,,Cluster 0
449,1553,1,6.0,taboara,,,,,,,Cluster 1
450,12031,1,2.0,antake,,,,,,,Cluster 3
451,10421,1,2.0,balahazo _maina,,,,,,,Cluster 3
452,11641,0,2.0,voanemba,,,,,,,Cluster 0
453,10570,1,5.0,tsako,,,,,,,Cluster 3
454,12070,1,2.0,tsako,,,,,,,Cluster 3
455,8000,0,6.0,tsako,,,,,,,Cluster 0
456,9592,1,3.0,vary,,,,,,,Cluster 3
457,2460,1,7.0,raketa_mena,,,,,,,Cluster 1
458,7470,1,2.0,tsako,,,,,,,Cluster 3
459,3320,1,10.0,tsako,,,,,,,Cluster 1
460,5880,1,2.0,antake,,,,,,,Cluster 3
461,5922,0,4.0,balahazo _maina,,,,,,,Cluster 0
462,987,0,0.0,ampemba,1 16,2.0,0.0,2018.0,agosto,7.0,Cluster 0
463,1412,0,1.0,taboara,,,,,,,Cluster 0
464,3974,1,4.0,balahazo _maina,,,,,,,Cluster 3
465,6294,1,7.0,balahazo _maina,,,,,,,Cluster 1
466,3913,1,3.0,Menaka,,,,,,,Cluster 3
467,1072,0,0.0,antake,1 5,2.0,2.0,2018.0,agosto,8.0,Cluster 0
468,4482,1,7.0,bageda,,,,,,,Cluster 1
469,3071,1,3.0,ravi_balahazo,,,,,,,Cluster 3
470,3671,1,13.0,balahazo _maina,,,,,,,Cluster 2
471,7862,1,4.0,ravina_hafa,,,,,,,Cluster 3
472,10530,1,7.0,balahazo _maina,,,,,,,Cluster 1
473,3741,1,2.0,antake,,,,,,,Cluster 3
474,1713,1,7.0,bageda,,,,,,,Cluster 1
475,1914,1,7.0,balahazo _maina,,,,,,,Cluster 1
476,5551,0,,voanemba,,,,,,,Cluster 0
477,2770,1,1.0,tsako,,,,,,,Cluster 3
478,8121,0,2.0,voanemba,,,,,,,Cluster 0
479,5872,1,7.0,balahazo _maina,,,,,,,Cluster 1
480,10681,1,7.0,balahazo _maina,,,,,,,Cluster 1
481,620,1,7.0,raketa_mena,1 10 18 2 7,5.0,3.0,2019.0,setembro,23.0,Cluster 1
482,4042,1,7.0,Menaka,,,,,,,Cluster 1
483,10461,0,0.0,voanemba,,,,,,,Cluster 0
484,1925,1,2.0,balahazo _maina,,,,,,,Cluster 3
485,6193,1,7.0,Menaka,,,,,,,Cluster 1
486,4857,0,0.0,hena_omby,,,,,,,Cluster 0
487,9002,1,2.0,hazan-dranomasina,,,,,,,Cluster 3
488,10250,1,21.0,raketa_mena,,,,,,,Cluster 2
489,3822,1,21.0,balahazo _maina,,,,,,,Cluster 2
490,9512,1,7.0,bageda,,,,,,,Cluster 1
491,10813,0,0.0,vihinja,,,,,,,Cluster 0
492,4045,1,4.0,bageda,,,,,,,Cluster 3
493,4791,1,4.0,voanemba,,,,,,,Cluster 3
494,3112,1,6.0,balahazo _maina,,,,,,,Cluster 1
495,4240,1,7.0,ampemba,,,,,,,Cluster 1
496,390,1,5.0,balahazo _maina,1 5,2.0,2.0,2019.0,setembro,23.0,Cluster 1
497,6525,1,3.0,balahazo _maina,,,,,,,Cluster 3
498,3220,1,7.0,balahazo _maina,,,,,,,Cluster 1
499,4520,1,9.0,ampemba,,,,,,,Cluster 1
500,10120,1,35.0,raketa_mena,,,,,,,Cluster 2
501,6780,1,2.0,tsako,,,,,,,Cluster 3
502,9442,0,3.0,Menaka,,,,,,,Cluster 0
503,1525,0,4.0,bageda,,,,,,,Cluster 0
504,11750,1,4.0,tsako,,,,,,,Cluster 3
505,11934,1,6.0,bageda,,,,,,,Cluster 1
506,4325,1,2.0,bageda,,,,,,,Cluster 3
507,3991,1,5.0,voanemba,,,,,,,Cluster 3
508,11433,1,7.0,ravina_hafa,,,,,,,Cluster 1
509,1560,1,21.0,ampemba,,,,,,,Cluster 2
510,2780,1,2.0,raketa_ravina,,,,,,,Cluster 3
511,7243,0,2.0,pitipoa,,,,,,,Cluster 0
512,7010,1,7.0,tsako,,,,,,,Cluster 1
513,9759,0,0.0,hena_hafa,,,,,,,Cluster 0
514,97512,0,0.0,vary,,,,,,,Cluster 0
515,60,0,0.0,tsako,16 2 21 27,4.0,2.0,2018.0,agosto,8.0,Cluster 0
516,4622,1,7.0,balahazo _maina,,,,,,,Cluster 1
517,4795,1,6.0,bageda,,,,,,,Cluster 1
518,590,1,14.0,raketa_mena,16 5 6,3.0,1.0,2018.0,agosto,8.0,Cluster 2
519,1384,1,7.0,ravina_hafa,,,,,,,Cluster 1
520,3481,1,5.0,balahazo _maina,,,,,,,Cluster 1
521,6031,1,2.0,vary,,,,,,,Cluster 3
522,8190,1,4.0,tsako,,,,,,,Cluster 3
523,11600,0,0.0,tsako,,,,,,,Cluster 0
524,8262,1,7.0,balahazo _maina,,,,,,,Cluster 1
525,10817,0,0.0,balahazo _maina,,,,,,,Cluster 0
526,5870,0,1.0,tsako,,,,,,,Cluster 0
527,4112,1,7.0,balahazo _maina,,,,,,,Cluster 1
528,7070,1,7.0,tsako,,,,,,,Cluster 1
529,9753,0,0.0,raketa_maitso/fotsy,,,,,,,Cluster 0
530,9650,1,2.0,tsako,,,,,,,Cluster 3
531,10651,1,7.0,ravina_hafa,,,,,,,Cluster 1
532,8561,1,7.0,bageda,,,,,,,Cluster 1
533,7598,0,0.0,hena_hafa,,,,,,,Cluster 0
534,3921,1,6.0,balahazo _maina,,,,,,,Cluster 1
535,8420,1,7.0,balahazo _maina,,,,,,,Cluster 1
536,10520,1,6.0,balahazo _maina,,,,,,,Cluster 1
537,11780,1,4.0,tsako,,,,,,,Cluster 3
538,1820,1,2.0,tsako,,,,,,,Cluster 3
539,81210,0,0.0,vihinja,,,,,,,Cluster 0
540,3740,0,3.0,tsako,,,,,,,Cluster 0
541,3574,0,0.0,ravi_balahazo,,,,,,,Cluster 0
542,6426,1,5.0,siramamy,,,,,,,Cluster 1
543,10581,1,7.0,balahazo _maina,,,,,,,Cluster 1
544,6000,1,14.0,raketa_mena,,,,,,,Cluster 2
545,4743,1,7.0,pitipoa,,,,,,,Cluster 1
546,7601,1,4.0,raketa_mena,,,,,,,Cluster 3
547,82310,0,0.0,bageda,,,,,,,Cluster 0
548,9221,1,5.0,ravina_hafa,,,,,,,Cluster 1
549,7041,1,5.0,balahazo _maina,,,,,,,Cluster 1
550,81214,0,2.0,katra,,,,,,,Cluster 0
551,1926,1,2.0,bageda,,,,,,,Cluster 3
552,9631,1,7.0,ravina_hafa,,,,,,,Cluster 1
553,8981,1,5.0,ampemba,,,,,,,Cluster 1
554,11603,0,2.0,ampemba,,,,,,,Cluster 0
555,4361,1,7.0,pitipoa,,,,,,,Cluster 1
556,0,1,2.0,tsako,1 16 21,3.0,2.0,2018.0,agosto,17.0,Cluster 3
557,8240,1,2.0,tsako,,,,,,,Cluster 3
558,1413,1,4.0,ampemba,,,,,,,Cluster 3
559,8051,1,2.0,voanemba,,,,,,,Cluster 3
560,8291,1,7.0,raketa_mena,,,,,,,Cluster 1
561,4832,1,12.0,ravina_hafa,,,,,,,Cluster 1
562,9061,1,3.0,bageda,,,,,,,Cluster 3
563,2472,0,0.0,tsaramaso,,,,,,,Cluster 0
564,9091,1,7.0,Menaka,,,,,,,Cluster 1
565,7423,0,2.0,ampemba,,,,,,,Cluster 0
566,1078,0,0.0,hena_omby,12 16 21 5,4.0,2.0,2018.0,agosto,8.0,Cluster 0
567,10762,1,7.0,balahazo _maina,,,,,,,Cluster 1
568,4160,1,7.0,ampemba,,,,,,,Cluster 1
569,4161,1,7.0,Menaka,,,,,,,Cluster 1
570,6360,1,21.0,balahazo _maina,,,,,,,Cluster 2
571,1512,1,6.0,taboara,,,,,,,Cluster 1
572,10890,0,2.0,tsako,,,,,,,Cluster 0
573,8054,0,5.0,hena_omby,,,,,,,Cluster 0
574,8644,1,2.0,bageda,,,,,,,Cluster 3
575,5283,0,0.0,bageda,,,,,,,Cluster 0
576,1252,1,7.0,bageda,,,,,,,Cluster 1
577,110,1,3.0,tsako,16 5,2.0,2.0,2018.0,agosto,8.0,Cluster 3
578,11001,1,7.0,balahazo _maina,,,,,,,Cluster 1
579,4290,1,7.0,ravina_hafa,,,,,,,Cluster 1
580,97610,0,4.0,balahazo _maina,,,,,,,Cluster 0
581,6300,1,15.0,balahazo _maina,,,,,,,Cluster 2
582,1320,1,4.0,ampemba,,,,,,,Cluster 3
